# sentencepiece unigram vocab, extrahiert aus bpe.model | pieces=500 | unk_id=2 | add_dummy_prefix=True | byte_fallback=False
▁EN	-6.889020	1
▁BECAUSE	-6.890915	1
▁HAS	-6.892173	1
EST	-6.898921	1
TI	-6.901089	1
ACT	-6.902431	1
▁BA	-6.902857	1
▁VERY	-6.906990	1
▁THEM	-6.911680	1
▁BEEN	-6.916043	1
▁WA	-6.921976	1
ABLE	-6.927398	1
▁SA	-6.928929	1
▁DID	-6.929895	1
▁HIM	-6.932255	1
▁DIS	-6.937471	1
▁WANT	-6.939250	1
▁OTHER	-6.944705	1
IM	-6.947432	1
▁PRE	-6.963848	1
▁LOOK	-6.976292	1
▁GOING	-6.976995	1
▁VI	-6.977337	1
▁WORK	-6.985192	1
▁DR	-6.996453	1
ENCE	-6.996587	1
▁DI	-6.997507	1
FF	-7.004671	1
TA	-7.005987	1
▁REALLY	-7.020014	1
▁RIGHT	-7.021151	1
MO	-7.021950	1
ALLY	-7.031169	1
▁INTO	-7.041628	1
OW	-7.042088	1
▁WAY	-7.042180	1
▁FE	-7.042784	1
▁COULD	-7.064907	1
▁THEN	-7.076316	1
TED	-7.083183	1
▁HERE	-7.086142	1
▁THESE	-7.086978	1
▁OVER	-7.089377	1
▁WELL	-7.091633	1
▁NA	-7.100633	1
▁ANY	-7.101719	1
HE	-7.105676	1
▁COMP	-7.112218	1
▁COM	-7.116237	1
▁TH	-7.128586	1
▁EVEN	-7.136682	1
▁TWO	-7.144401	1
▁JO	-7.151512	1
▁MAKE	-7.151967	1
▁BACK	-7.154191	1
▁WHERE	-7.163723	1
SH	-7.166942	1
▁QU	-7.175229	1
MAN	-7.186553	1
▁YEAR	-7.187734	1
▁TRA	-7.188742	1
▁CHA	-7.190660	1
QU	-7.211597	1
CA	-7.214162	1
▁ALSO	-7.217267	1
CTION	-7.222174	1
ANCE	-7.227873	1
UM	-7.229064	1
PER	-7.233722	1
DI	-7.235572	1
▁HU	-7.238831	1
▁MU	-7.241668	1
FUL	-7.243288	1
▁NEW	-7.247809	1
ARD	-7.252365	1
J	-7.263144	1
ICAL	-7.269825	1
ANT	-7.271612	1
END	-7.273495	1
▁MAR	-7.275743	1
▁NE	-7.280915	1
IF	-7.282015	1
DER	-7.282778	1
ONE	-7.286363	1
▁THOSE	-7.287425	1
PP	-7.288384	1
▁MAN	-7.302484	1
▁GOOD	-7.311670	1
▁TAKE	-7.315822	1
SIDE	-7.327552	1
PO	-7.331828	1
HA	-7.341651	1
▁LITTLE	-7.343965	1
▁APP	-7.350577	1
▁BI	-7.357551	1
UGH	-7.360734	1
▁COME	-7.362757	1
ISH	-7.365530	1
TIC	-7.365842	1
▁PER	-7.368961	1
▁THINGS	-7.374934	1
▁MUCH	-7.378465	1
▁FIRST	-7.379275	1
▁THAN	-7.395137	1
IA	-7.405360	1
▁AGAIN	-7.406386	1
▁STA	-7.406443	1
▁PART	-7.409109	1
▁GA	-7.413846	1
▁MEAN	-7.414064	1
▁LET	-7.416083	1
▁DOWN	-7.418960	1
▁NEED	-7.421772	1
▁GU	-7.426834	1
LES	-7.431072	1
▁RU	-7.441924	1
ATED	-7.451959	1
▁SHA	-7.455660	1
VO	-7.456886	1
▁TALK	-7.467517	1
▁DAY	-7.468530	1
▁CHI	-7.471416	1
▁SOMETHING	-7.487385	1
▁AFTER	-7.487554	1
▁THOUGH	-7.491821	1
▁CALL	-7.508307	1
▁GRA	-7.508645	1
▁EVERY	-7.510879	1
▁KIND	-7.519194	1
ROW	-7.522918	1
AIN	-7.523670	1
▁BU	-7.524343	1
▁THROUGH	-7.529746	1
▁SHOULD	-7.535906	1
▁ONLY	-7.548956	1
▁TA	-7.550046	1
▁MIN	-7.550228	1
▁GOT	-7.551891	1
IAN	-7.559639	1
▁GREAT	-7.565786	1
▁RI	-7.574379	1
▁DOES	-7.574910	1
▁THING	-7.589205	1
DAY	-7.591612	1
OUS	-7.599925	1
▁START	-7.603534	1
▁MOST	-7.612201	1
▁COL	-7.615087	1
PH	-7.616779	1
▁LOT	-7.617667	1
IZE	-7.637782	1
BER	-7.643322	1
IOUS	-7.644121	1
▁LIFE	-7.651883	1
▁MANY	-7.652770	1
▁FEEL	-7.665822	1
ITION	-7.672951	1
▁VA	-7.676649	1
NESS	-7.677010	1
▁BEFORE	-7.691057	1
▁THREE	-7.700549	1
▁WORLD	-7.700652	1
▁GIVE	-7.702234	1
▁WHY	-7.709311	1
▁PI	-7.715486	1
▁LONG	-7.727906	1
PORT	-7.733355	1
▁SHOW	-7.734122	1
▁ACTUALLY	-7.736657	1
▁NEVER	-7.747577	1
IV	-7.750342	1
FORM	-7.754707	1
▁THANK	-7.757897	1
▁HI	-7.775505	1
